county,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
Henderson,17464,17459,2976,1511,983,2395,3071,3318,3205,5
Hidalgo,281738,281615,44055,34544,13967,46705,47078,48807,46459,123
Hill,8321,8275,1209,895,452,1366,1397,1482,1474,46
Hockley,6030,6025,878,672,254,1039,1051,1066,1065,5
Hood,12290,12226,1613,1559,761,2026,2118,1977,2172,64
Hopkins,9090,9068,1393,918,391,1632,1484,1668,1582,22
Houston,4498,4414,844,328,330,714,904,579,715,84
Howard,8036,7990,1333,977,224,1343,1463,1440,1210,46
Hudspeth,1083,1083,168,43,8,382,140,139,203,0
Hunt,22526,22482,3469,2437,1121,3954,3717,3853,3931,44
Hutchinson,5486,5486,887,508,335,903,880,939,1034,0
Irion,425,425,33,33,26,102,41,155,35,0
Jack,1877,1877,230,248,76,258,333,392,340,0
Jackson,3773,3773,507,503,166,516,653,836,592,0
Jasper,8570,8570,1167,927,608,1405,1503,1512,1448,0
Jeff Davis,376,325,12,49,35,23,59,121,26,51
Jefferson,60922,60531,9748,7823,3630,10491,10287,9128,9424,391
Jim Hogg,1673,1673,263,257,43,299,132,383,296,0
Jim Wells,11463,11463,1952,1157,667,1825,1927,2034,1901,0
Johnson,43566,43562,6342,4673,2323,7021,7985,7574,7644,4
Jones,3482,3472,679,195,102,511,671,708,606,10
Karnes,3237,3029,540,324,102,580,461,512,510,208
Kaufman,34335,34312,5287,3591,1911,5404,6026,6132,5961,23
Kendall,10356,10338,1310,809,476,1330,2098,2220,2095,18
Kenedy,168,168,78,22,0,15,16,33,4,0
Kent,159,147,22,0,25,20,30,17,33,12
Kerr,10002,9823,1675,977,438,1595,1410,1971,1757,179
Kimble,932,932,233,47,23,98,137,165,229,0
King,70,70,7,7,0,9,10,29,8,0
Kinney,470,470,62,38,13,79,48,100,130,0
Kleberg,7523,7499,1282,843,501,1082,1407,1117,1267,24
Knox,988,988,139,124,26,233,148,172,146,0
Lamar,11825,11804,1991,1325,860,1637,1947,1997,2047,21
Lamb,3666,3666,481,483,123,625,834,520,600,0
Lampasas,4632,4617,583,537,191,426,700,1243,937,15
La Salle,1498,1498,229,94,0,354,169,338,314,0
Lavaca,4745,4745,591,611,332,926,791,736,758,0
Lee,3784,3601,499,561,138,606,703,534,560,183
Leon,3897,3897,657,390,215,695,582,712,646,0
Liberty,21854,21833,3779,2190,1232,3584,3170,4224,3654,21
Limestone,5274,5213,929,539,260,950,783,844,908,61
Lipscomb,902,902,142,112,55,167,125,165,136,0
Live Oak,2427,2427,319,341,101,369,529,340,428,0
Llano,3160,3160,602,219,151,485,554,625,524,0
Loving,25,25,13,8,4,0,0,0,0,0
Lubbock,73061,72772,12175,8255,3736,12088,12159,12716,11643,289
Lynn,1578,1577,247,141,80,352,277,236,244,1
McCulloch,1816,1813,312,200,67,255,359,299,321,3
McLennan,62120,61731,10256,7308,3187,10101,10648,9989,10242,389
McMullen,224,224,15,49,11,30,52,51,16,0
Madison,3042,3000,454,425,141,377,519,492,592,42
Marion,1796,1796,295,146,104,236,389,304,322,0
Martin,1755,1755,253,207,104,229,356,314,292,0
Mason,996,996,179,93,79,137,145,177,186,0
Matagorda,9493,9493,1501,1111,575,1420,1691,1637,1558,0
Maverick,18326,18326,3221,2230,751,3051,3149,2787,3137,0
Medina,11597,11597,1545,1385,701,1798,2013,2034,2121,0
Menard,266,266,9,0,13,43,67,102,32,0
Midland,47708,47659,8465,6288,2408,8417,8564,6686,6831,49
Milam,6051,5985,742,777,317,751,1057,1100,1241,66
Mills,937,883,116,51,37,160,219,174,126,54
Mitchell,1688,1688,310,126,177,252,257,176,390,0
Montague,4467,4467,815,326,199,810,1032,597,688,0
Montgomery,151329,151283,23029,15659,8088,26107,26830,25366,26204,46
Moore,6744,6744,1224,686,372,1025,1462,1024,951,0
Morris,2842,2842,357,326,97,500,491,613,458,0
Motley,319,319,34,17,22,62,109,21,54,0
Nacogdoches,15175,15138,2467,1802,931,2668,2680,2183,2407,37
Navarro,12855,12750,2103,1472,576,1811,2323,2393,2072,105
Newton,2804,2804,370,262,111,638,246,628,549,0
Nolan,3872,3872,680,398,232,655,666,619,622,0
Nueces,89538,89324,13928,10483,4634,15052,15560,14349,15318,214
Ochiltree,3153,3153,467,383,152,490,626,511,524,0
Oldham,704,296,64,56,12,36,31,53,44,408
Orange,20850,20811,3615,2141,1132,3504,3207,3695,3517,39
Palo Pinto,6686,6686,754,982,372,1208,1115,1091,1164,0
Panola,5504,5493,823,565,280,742,780,1357,946,11
Parker,33143,33108,4830,3426,1532,5535,6370,5488,5927,35
Parmer,2850,2850,445,309,138,450,645,403,460,0
Pecos,3888,3888,554,461,264,773,627,613,596,0
Polk,9913,9899,1555,1036,531,1677,1535,1865,1700,14
Potter,32932,32912,5200,4263,1741,5911,5460,5405,4932,20
Presidio,1809,1809,330,162,187,154,491,224,261,0
Rains,2294,2294,329,263,152,320,353,449,428,0
