zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
76263,0,0,0,0,0,0,0,0,0,0
76264,208,208,12,6,23,25,17,92,33,0
76265,391,391,126,36,8,77,46,37,61,0
76266,3858,3858,587,548,97,505,667,774,680,0
76268,67,67,7,16,0,8,19,17,0,0
76270,449,449,161,32,33,83,25,23,92,0
76271,481,481,58,30,29,108,144,73,39,0
76272,795,795,122,69,49,162,139,118,136,0
76273,2370,2370,580,245,28,441,272,358,446,0
76301,3621,3604,764,453,147,648,443,586,563,17
76302,3517,3468,775,475,146,661,606,419,386,49
76305,874,874,98,75,28,185,141,142,205,0
76306,3666,3666,356,286,135,913,596,579,801,0
76308,3822,3822,688,609,279,636,555,576,479,0
76309,3385,3383,632,334,125,625,513,673,481,2
76310,4932,4918,711,485,279,819,1005,910,709,14
76311,862,814,185,126,33,112,172,125,61,48
76351,500,500,36,52,17,119,107,53,116,0
76354,2993,2992,367,491,180,373,446,606,529,1
76357,181,181,37,6,0,46,42,34,16,0
76360,542,542,108,41,25,110,89,56,113,0
76363,181,181,9,14,0,66,29,17,46,0
76364,57,57,6,6,3,13,12,7,10,0
76365,918,917,108,69,25,228,142,161,184,1
76366,401,401,79,7,38,31,94,67,85,0
76367,2497,2480,489,312,126,407,468,408,270,17
76370,17,17,4,5,0,1,7,0,0,0
76371,326,326,94,53,20,41,42,38,38,0
76372,364,364,45,37,11,79,53,56,83,0
76373,8,8,0,0,0,0,4,4,0,0
76374,877,877,160,72,45,159,239,119,83,0
76377,107,107,31,13,0,6,28,16,13,0
76379,165,165,31,33,5,33,4,25,34,0
76380,746,746,107,46,62,138,167,125,101,0
76384,2723,2673,321,330,95,563,511,386,467,50
76388,20,20,1,1,1,5,3,2,7,0
76389,262,262,31,34,14,26,41,62,54,0
76401,6400,6350,1163,667,330,1157,887,1073,1073,50
76402,31,0,0,0,0,0,0,0,0,31
76424,2071,2071,339,165,168,354,389,383,273,0
76426,2570,2570,401,263,122,333,371,511,569,0
76427,221,221,49,3,11,42,39,45,32,0
76429,0,0,0,0,0,0,0,0,0,0
76430,575,567,124,59,17,114,18,93,142,8
76431,1181,1181,90,88,29,249,199,335,191,0
76432,273,273,27,35,0,62,58,70,21,0
76433,323,323,47,71,39,11,27,62,66,0
76435,84,84,18,3,9,32,14,0,8,0
76436,83,83,10,10,0,13,0,39,11,0
76437,1406,1406,167,93,0,293,87,359,407,0
76442,1805,1805,312,80,94,298,253,392,376,0
76443,482,482,48,63,42,80,109,77,63,0
76444,675,675,172,26,13,119,124,165,56,0
76445,41,41,19,18,0,0,0,4,0,0
76446,1877,1876,486,167,103,350,254,300,216,1
76448,931,909,113,239,75,139,166,36,141,22
76449,455,455,92,74,8,74,58,59,90,0
76450,3064,3064,338,393,217,392,516,684,524,0
76452,35,35,0,21,0,0,14,0,0,0
76453,195,195,38,19,9,43,19,33,34,0
76454,463,463,92,101,35,17,90,97,31,0
76455,261,261,20,29,14,49,39,63,47,0
76457,823,823,74,112,52,63,190,165,167,0
76458,1246,1246,150,213,8,146,185,293,251,0
76459,85,85,15,9,5,27,25,0,4,0
76460,15,15,0,0,0,0,0,7,8,0
76462,760,760,99,75,30,100,111,202,143,0
76463,28,28,4,0,0,2,4,14,4,0
76464,74,74,7,14,5,3,14,22,9,0
76466,0,0,0,0,0,0,0,0,0,0
76469,4,4,1,1,0,0,0,2,0,0
76470,742,742,135,44,29,146,159,134,95,0
76471,264,264,59,35,3,47,34,51,35,0
76472,445,445,9,8,41,99,65,97,126,0
76474,22,22,0,0,0,0,7,8,7,0
76475,231,231,9,24,22,25,24,56,71,0
76476,572,572,38,107,1,115,81,165,65,0
76481,115,115,27,0,0,0,0,29,59,0
76483,135,135,20,39,9,11,19,9,28,0
76484,162,162,34,40,0,9,41,19,19,0
76486,172,172,6,53,0,36,56,6,15,0
76487,900,900,69,75,52,201,202,88,213,0
76490,6,6,0,0,0,0,0,0,6,0
76491,81,81,16,2,0,29,5,6,23,0
76501,4104,4104,657,519,219,783,638,542,746,0
76502,11481,11481,2749,1615,605,1952,1483,1530,1547,0
76504,5675,5654,932,666,390,980,1233,836,617,21
76508,0,0,0,0,0,0,0,0,0,0
76511,491,491,31,62,21,80,108,86,103,0
76513,10427,10411,1622,1058,449,1827,2025,1929,1501,16
76518,572,572,77,76,5,83,96,124,111,0
76519,277,277,22,49,59,39,16,48,44,0
76520,1904,1876,200,136,141,272,359,327,441,28
76522,9754,9752,1402,1185,512,1545,1815,1618,1675,2
76523,0,0,0,0,0,0,0,0,0,0
76524,627,627,71,73,33,119,95,107,129,0
76525,256,256,42,28,4,20,53,64,45,0
76527,818,818,150,48,30,173,146,105,166,0
76528,4189,4143,735,514,213,661,581,871,568,46
76530,329,329,45,27,15,64,78,45,55,0
76531,955,952,149,139,40,110,203,171,140,3
76534,939,939,107,82,49,234,214,162,91,0
76537,1582,1582,254,199,150,251,250,241,237,0
76538,286,286,50,13,0,58,68,40,57,0
76539,1794,1794,199,237,62,154,335,487,320,0
76541,4478,4464,765,762,192,581,805,666,693,14
76542,15372,15371,2511,1874,958,2421,2471,2459,2677,1
76543,8345,8320,1516,1230,620,1392,1359,1150,1053,25
76544,4670,4670,1310,866,385,954,583,374,198,0
76548,8496,8496,1148,819,431,1619,1577,1446,1456,0
76549,16818,16818,3444,2480,1125,2651,2235,2636,2247,0
76550,3242,3242,487,449,142,241,394,830,699,0
76554,772,772,111,118,49,158,91,102,143,0
76556,317,317,41,20,28,42,72,61,53,0
76557,1227,1227,153,123,103,119,174,248,307,0
76559,1993,1993,420,129,178,373,241,247,405,0
76561,276,276,24,13,5,50,55,84,45,0
76565,20,20,0,0,0,0,0,0,20,0
76566,57,57,0,4,0,19,14,14,6,0
76567,2111,2073,320,431,41,189,298,408,386,38
76569,781,781,58,87,22,105,135,157,217,0
76570,630,630,179,112,37,62,89,98,53,0
76571,2439,2439,280,204,113,315,390,601,536,0
76573,6,6,6,0,0,0,0,0,0,0
76574,3952,3951,517,467,159,716,690,812,590,1
76577,607,607,102,39,15,98,135,97,121,0
76578,386,386,65,24,28,64,46,113,46,0
76579,1638,1638,248,242,45,411,258,206,228,0
76596,6,0,0,0,0,0,0,0,0,6
76597,0,0,0,0,0,0,0,0,0,0
76598,3,0,0,0,0,0,0,0,0,3
76599,7,0,0,0,0,0,0,0,0,7
76621,210,210,20,24,8,36,31,44,47,0
76622,249,249,19,31,16,56,36,49,42,0
76623,65,65,5,2,12,18,16,12,0,0
76624,530,530,175,52,13,87,42,77,84,0
76626,450,450,30,52,19,36,89,157,67,0
76627,377,377,48,31,17,86,78,53,64,0
76628,10,10,0,0,0,4,0,3,3,0
76629,240,240,29,22,10,75,30,54,20,0
76630,354,354,25,16,20,60,66,145,22,0
76631,205,205,32,5,3,19,42,26,78,0
76632,391,391,51,22,27,96,120,35,40,0
76633,1397,1397,169,149,57,161,154,384,323,0
76634,1355,1355,181,153,54,189,255,314,209,0
76635,342,342,53,45,19,60,87,40,38,0
76636,295,295,81,24,13,26,34,73,44,0
76637,112,112,19,12,8,19,15,8,31,0
76638,841,841,153,89,26,103,134,173,163,0
76639,288,288,48,4,5,54,61,80,36,0
76640,979,979,219,114,130,65,289,59,103,0
76641,339,339,74,31,15,30,62,60,67,0
76642,1445,1445,289,65,78,239,228,273,273,0
76643,3168,3168,528,428,103,534,634,452,489,0
76645,2556,2548,519,270,207,354,433,364,401,8
76648,658,658,96,63,6,133,116,139,105,0
76649,139,139,17,22,1,7,19,47,26,0
76650,51,51,11,13,0,19,8,0,0,0
76651,749,749,165,74,35,134,120,99,122,0
76652,265,265,22,39,10,62,47,43,42,0
76653,219,219,26,25,7,74,19,34,34,0
76654,28,28,0,4,0,5,7,7,5,0
76655,2070,2070,156,157,146,257,392,500,462,0
76656,624,624,62,71,21,84,126,143,117,0
76657,2568,2568,293,235,157,422,426,517,518,0
76660,165,165,17,25,2,36,25,30,30,0
76661,1510,1510,306,64,98,299,173,328,242,0
76664,1147,907,124,47,47,205,201,150,133,240
76665,556,556,46,54,27,92,96,103,138,0
76666,77,77,22,10,8,16,7,7,7,0
76667,2699,2638,440,340,104,480,396,399,479,61
76670,360,360,40,36,11,101,59,52,61,0
76671,302,302,56,30,9,29,60,63,55,0
76673,694,694,63,81,50,197,99,143,61,0
76676,75,75,5,10,0,14,24,13,9,0
76678,77,77,2,2,17,25,29,2,0,0
76679,409,409,43,33,0,67,59,134,73,0
76680,53,53,0,0,0,0,0,33,20,0
76681,176,176,12,37,0,81,7,12,27,0
76682,666,666,146,76,16,118,108,123,79,0
76685,0,0,0,0,0,0,0,0,0,0
76686,46,46,6,9,6,6,0,12,7,0
76687,321,321,75,38,20,39,54,51,44,0
76689,981,981,139,110,46,97,212,197,180,0
76690,309,309,73,22,18,73,60,39,24,0
76691,1389,1376,175,133,50,197,317,253,251,13
76692,2043,2043,170,197,86,254,374,457,505,0
76693,422,422,57,56,24,67,98,89,31,0
76701,271,271,55,12,5,46,99,20,34,0
76704,2458,2432,602,174,57,460,487,350,302,26
76705,7900,7853,1295,703,532,1376,1447,1156,1344,47
76706,8708,8688,1487,1442,396,1324,1206,1309,1524,20
76707,4885,4885,1140,621,213,812,788,638,673,0
76708,8020,7994,1155,1070,455,1360,1321,1400,1233,26
76710,5023,5023,969,798,253,1092,773,562,576,0
76711,2518,2513,363,181,106,427,372,467,597,5
76712,6193,6191,1062,678,346,865,1203,960,1077,2
76798,10,0,0,0,0,0,0,0,0,10
76801,5576,5455,820,608,301,899,884,924,1019,121
76802,1294,1292,153,75,138,105,311,162,348,2
76820,0,0,0,0,0,0,0,0,0,0
76821,886,886,136,115,27,246,117,89,156,0
76823,588,588,94,98,24,122,95,93,62,0
76824,0,0,0,0,0,0,0,0,0,0
76825,1606,1603,283,170,57,255,333,245,260,3
76827,91,91,8,13,3,24,8,25,10,0
76828,51,51,0,0,0,22,12,0,17,0
76831,0,0,0,0,0,0,0,0,0,0
76832,206,158,17,0,7,16,43,39,36,48
76834,1194,1194,180,150,110,226,277,27,224,0
76836,0,0,0,0,0,0,0,0,0,0
76837,370,370,62,11,0,123,43,66,65,0
76841,0,0,0,0,0,0,0,0,0,0
76842,26,26,0,0,0,0,0,12,14,0
76844,662,662,71,19,16,112,189,174,81,0
76845,62,62,5,12,7,0,18,20,0,0
76848,0,0,0,0,0,0,0,0,0,0
76849,844,844,186,47,23,98,137,157,196,0
76852,58,58,10,4,0,0,6,17,21,0
76853,348,333,20,10,17,44,55,132,55,15
76854,23,23,0,0,0,0,0,0,23,0
76856,923,923,179,93,79,113,122,165,172,0
76857,363,363,21,0,9,35,132,108,58,0
76858,75,75,19,19,0,0,6,16,15,0
76859,266,266,9,0,13,43,67,102,32,0
76861,578,578,68,60,12,120,111,76,131,0
76862,42,42,0,0,0,0,11,21,10,0
76864,188,134,16,14,21,33,22,0,28,54
76865,0,0,0,0,0,0,0,0,0,0
76866,84,84,16,5,5,11,23,13,11,0
76869,0,0,0,0,0,0,0,0,0,0
76870,71,71,13,18,0,15,8,0,17,0
76871,117,117,20,17,2,13,38,17,10,0
76872,168,168,0,7,10,24,37,38,52,0
76873,0,0,0,0,0,0,0,0,0,0
76874,0,0,0,0,0,0,0,0,0,0
76875,98,98,11,22,0,15,15,12,23,0
76877,877,877,140,116,38,176,132,128,147,0
76878,370,370,39,38,8,54,44,107,80,0
76882,21,21,0,12,0,5,4,0,0,0
76884,18,18,2,0,0,0,10,0,6,0
76885,122,122,36,22,0,0,13,42,9,0
76887,0,0,0,0,0,0,0,0,0,0
76888,22,22,0,0,0,9,0,10,3,0
76890,207,207,8,10,13,43,46,38,49,0
76901,7814,7814,1000,1113,243,1119,1500,1359,1480,0
76903,7208,7183,882,812,451,1237,1176,1494,1131,25
76904,8191,8184,1331,1106,379,1294,1403,1553,1118,7
76905,3757,3754,809,655,226,503,760,388,413,3
76908,8,0,0,0,0,0,0,0,0,8
76930,16,16,6,0,6,4,0,0,0,0
76932,1277,1277,195,179,24,298,253,205,123,0
76933,277,224,16,17,21,49,36,50,35,53
76934,248,199,24,22,5,51,58,11,28,49
76935,488,488,49,85,18,108,87,104,37,0
76936,789,789,99,118,29,133,152,132,126,0
76937,0,0,0,0,0,0,0,0,0,0
76939,0,0,0,0,0,0,0,0,0,0
76940,2,0,0,0,0,0,0,0,0,2
76941,409,409,27,33,20,98,41,155,35,0
76943,781,781,90,34,46,133,139,178,161,0
76945,400,400,57,2,2,96,73,90,80,0
76949,1,0,0,0,0,0,0,0,0,1
76950,1009,1008,204,126,46,141,191,183,117,1
76951,424,424,36,41,16,84,94,44,109,0
76953,0,0,0,0,0,0,0,0,0,0
76955,67,67,46,0,0,0,0,7,14,0
76957,72,72,44,0,0,28,0,0,0,0
76958,11,11,0,0,0,0,11,0,0,0
77002,166,166,77,19,0,0,8,14,48,0
77003,1603,1603,380,154,89,210,272,251,247,0
77004,4685,4624,1276,606,296,592,831,403,620,61
77005,7175,7130,1390,770,410,1104,1314,1073,1069,45
77006,1940,1884,521,146,159,388,305,255,110,56
77007,4501,4501,1580,761,287,771,454,283,365,0
77008,5786,5786,1923,528,237,1308,751,423,616,0
77009,8151,8151,1691,904,396,1282,1353,1158,1367,0
77010,21,21,0,0,0,11,0,0,10,0
77011,4426,4426,704,588,254,703,770,615,792,0
77012,5581,5581,957,572,225,1103,1089,857,778,0
77013,5220,5220,885,748,342,771,952,581,941,0
77014,11231,11231,2284,929,849,2104,1689,1414,1962,0
77015,18054,18054,2964,1765,727,2708,3389,3230,3271,0
77016,8078,8077,1346,1049,312,1286,1443,1338,1303,1
77017,8746,8746,1241,1093,373,1427,1480,1616,1516,0
77018,7262,7230,1536,1211,440,1381,1058,887,717,32
77019,3047,3047,448,319,280,331,575,563,531,0
77020,7412,7387,1335,969,347,1237,1144,1182,1173,25
77021,5695,5674,881,817,277,806,929,897,1067,21
77022,7791,7791,1440,832,317,1219,1104,1567,1312,0
77023,7365,7350,1361,695,344,1217,1422,1224,1087,15
77024,9708,9708,971,837,620,1584,1744,1953,1999,0
77025,5763,5761,1160,893,386,768,883,950,721,2
77026,4746,4745,598,571,363,833,803,673,904,1
77027,2357,2357,713,379,127,196,229,432,281,0
77028,4532,4523,632,299,138,859,808,926,861,9
77029,5006,5006,801,413,200,651,1281,753,907,0
77030,2304,2298,523,372,227,417,364,251,144,6
77031,4746,4746,924,426,176,625,619,1038,938,0
77032,5898,5898,819,534,221,1022,1017,988,1297,0
77033,8936,8936,1493,887,511,1584,1637,1354,1470,0
77034,12266,12261,2259,1396,666,1915,1987,1947,2091,5
77035,9764,9764,1759,1136,592,1729,1638,1275,1635,0
77036,21302,21301,3769,2854,1204,3792,3389,3393,2900,1
77037,5913,5913,1224,429,279,885,1174,836,1086,0
77038,10688,10688,2051,1021,489,1813,2029,1826,1459,0
77039,9794,9781,1484,1247,506,1487,1564,1470,2023,13
77040,11132,11132,1698,1086,437,2158,2180,1948,1625,0
77041,7736,7733,884,666,392,1377,1519,1101,1794,3
77042,9574,9572,2318,920,561,1555,1227,1277,1714,2
77043,5840,5825,1376,644,236,860,958,992,759,15
77044,15662,15662,2638,2189,841,2854,3001,2225,1914,0
77045,10659,10659,1137,1278,601,1969,2045,1468,2161,0
77046,13,13,13,0,0,0,0,0,0,0
77047,9175,9175,1485,1024,526,1744,1695,1351,1350,0
77048,5658,5657,1160,503,267,617,821,1410,879,1
77049,11702,11697,1961,1114,457,2282,1972,2054,1857,5
77050,1295,1295,175,75,70,268,277,238,192,0
77051,4923,4923,556,619,300,1032,785,533,1098,0
77053,9403,9403,1303,834,503,1847,1751,1440,1725,0
77054,2333,2333,795,229,156,182,365,350,256,0
77055,11860,11860,2357,1380,735,1831,1903,1733,1921,0
77056,2909,2909,770,290,75,577,475,325,397,0
77057,7946,7946,2083,1199,541,1055,1415,914,739,0
77058,2819,2819,608,358,198,420,392,422,421,0
77059,4420,4420,448,346,235,742,826,965,858,0
77060,16273,16268,3318,2053,960,2950,2684,2470,1833,5
77061,7590,7590,1288,969,431,1242,1353,1149,1158,0
77062,6774,6774,1332,943,601,1059,874,1007,958,0
77063,7816,7816,2398,1279,370,1138,1036,743,852,0
77064,11880,11880,1706,1252,668,2433,2150,1719,1952,0
77065,8909,8909,1272,811,494,1357,2024,1771,1180,0
77066,9288,9288,1178,1091,300,1698,1672,1684,1665,0
77067,11426,11413,1916,1341,462,2036,1725,2037,1896,13
77068,1881,1881,416,222,32,273,335,242,361,0
77069,4537,4537,455,390,187,678,1111,918,798,0
77070,13047,13045,1743,1351,1159,2558,1716,2195,2323,2
77071,7651,7651,1121,1016,253,1785,1340,1218,918,0
77072,17086,17086,2968,1592,959,2587,2558,2850,3572,0
77073,11802,11802,1812,1241,765,1868,2175,2092,1849,0
77074,12452,12413,2308,1639,807,2135,1954,2179,1391,39
77075,12954,12954,1621,1847,606,2429,2264,2235,1952,0
77076,11768,11768,1957,1470,708,2140,1704,1662,2127,0
77077,12923,12923,2799,1358,797,2137,2065,1686,2081,0
77078,4908,4908,538,526,277,849,911,926,881,0
77079,10475,10475,1201,1392,671,1855,1892,1605,1859,0
77080,12922,12922,2210,1549,769,2310,2235,1795,2054,0
77081,16720,16621,3536,2162,1087,2595,2676,2181,2384,99
77082,11924,11924,2699,1785,946,1667,1930,1310,1587,0
77083,19743,19743,2658,2116,1190,3163,3188,3475,3953,0
77084,30280,30280,5045,2847,1297,4642,5507,5703,5239,0
77085,4752,4738,795,451,171,918,754,569,1080,14
77086,8837,8837,1302,829,253,1565,1680,1718,1490,0
77087,11288,11275,1958,1603,739,1994,1527,1722,1732,13
77088,15589,15564,2716,1687,628,2126,2770,3068,2569,25
77089,13491,13491,1948,1447,492,2150,2175,2670,2609,0
77090,12187,12164,2014,1327,1074,1996,2223,1954,1576,23
77091,8080,8047,1436,783,615,1358,1575,1109,1171,33
77092,10154,10153,2317,1430,538,1473,1188,1634,1573,1
77093,15114,15113,2618,1549,695,3056,2417,2387,2391,1
77094,2830,2830,332,376,144,586,478,525,389,0
77095,18071,18071,2764,2000,942,2752,2783,3107,3723,0
77096,8299,8292,1422,1053,490,1572,1297,1262,1196,7
77098,1373,1373,285,165,18,371,235,219,80,0
77099,14475,14475,2748,1420,934,2212,2677,2187,2297,0
77201,0,0,0,0,0,0,0,0,0,0
77301,9168,9159,1662,1154,518,1538,1446,1626,1215,9
77302,5222,5222,897,251,106,1028,855,1271,814,0
77303,5853,5848,964,401,214,923,1029,1169,1148,5
77304,7877,7866,1845,861,594,1398,1487,962,719,11
77306,4140,4140,589,650,45,230,814,984,828,0
77316,7448,7448,891,772,468,1441,1402,1261,1213,0
77318,3140,3140,482,317,91,662,431,518,639,0
77320,5261,5206,1011,715,218,703,878,934,747,55
77326,0,0,0,0,0,0,0,0,0,0
77327,7629,7629,1309,593,470,1407,1235,1341,1274,0
77328,4264,4264,520,485,310,567,764,944,674,0
77331,1395,1395,187,81,112,186,286,258,285,0
77334,57,57,57,0,0,0,0,0,0,0
77335,595,595,62,42,66,122,137,29,137,0
77336,3754,3754,579,361,186,746,430,659,793,0
77338,13128,13125,2350,1867,591,1979,2203,2013,2122,3
77339,10141,10141,1234,944,606,1681,1840,1906,1930,0
77340,4037,4031,499,380,376,810,613,810,543,6
77342,0,0,0,0,0,0,0,0,0,0
77345,7535,7535,738,560,294,1355,1316,1780,1492,0
77346,20046,20046,3556,1952,848,3194,4014,3448,3034,0
77350,35,35,0,0,0,0,5,23,7,0
77351,6690,6676,1158,735,331,1115,962,1305,1070,14
77354,10119,10116,1785,975,368,2024,1867,1529,1568,3
77355,6933,6933,886,738,524,1197,1139,1328,1121,0
77356,4865,4865,678,484,299,628,719,706,1351,0
77357,8487,8482,1547,1062,281,1371,1396,1295,1530,5
77358,1585,1484,259,208,163,181,148,286,239,101
77359,0,0,0,0,0,0,0,0,0,0
77360,986,986,95,159,89,139,138,162,204,0
77362,1896,1896,288,49,43,410,312,303,491,0
77363,532,532,62,40,3,115,64,70,178,0
77364,188,188,0,7,29,10,50,21,71,0
77365,9574,9574,1332,1504,178,1590,1703,1445,1822,0
77367,8,0,0,0,0,0,0,0,0,8
77368,17,17,0,0,0,0,17,0,0,0
77369,60,60,0,13,16,0,16,0,15,0
77371,1834,1834,234,237,240,150,332,405,236,0
77372,4145,4144,496,518,183,712,848,707,680,1
77373,15952,15937,2160,2007,891,2671,3053,2606,2549,15
77374,100,100,70,0,0,0,0,0,30,0
77375,15635,15604,3136,1904,848,2170,2462,2686,2398,31
77376,61,61,0,19,0,0,0,0,42,0
77377,11319,11319,1966,1006,355,2391,1641,1838,2122,0
77378,5446,5445,645,478,509,1139,1170,609,895,1
77379,21284,21227,2894,2054,1060,3572,4417,3841,3389,57
77380,4423,4419,874,538,287,599,561,826,734,4
77381,8489,8487,1192,915,506,1656,1535,1341,1342,2
77382,13265,13260,703,576,860,2075,2726,2993,3327,5
77384,4060,4060,715,546,213,548,819,582,637,0
77385,6961,6961,1367,729,283,1122,966,1149,1345,0
77386,18477,18477,3099,2141,1450,3487,3273,2483,2544,0
77388,13339,13339,2070,1415,648,1994,2273,2471,2468,0
77389,12645,12645,1840,1692,885,2073,2131,2497,1527,0
77396,15585,15578,3186,1581,1074,2797,2346,2675,1919,7
77401,4938,4938,416,507,308,909,809,1134,855,0
77406,12854,12854,2067,1775,841,1799,2214,2314,1844,0
77407,18303,18303,3401,2255,863,3664,3393,2312,2415,0
77412,5,5,0,0,5,0,0,0,0,0
77414,6167,6167,1025,697,445,1078,920,985,1017,0
77415,41,41,0,0,0,0,17,0,24,0
77417,552,552,24,38,36,66,168,122,98,0
77418,2199,2199,225,260,213,202,441,393,465,0
77419,403,403,120,0,18,72,91,72,30,0
77420,708,708,120,111,17,71,64,190,135,0
77422,2728,2721,415,313,120,589,398,482,404,7
77423,3409,3403,568,414,255,515,549,500,602,6
77426,629,629,24,0,35,68,109,142,251,0
77428,0,0,0,0,0,0,0,0,0,0
77429,26730,26730,3487,3050,1425,4687,5413,4370,4298,0
77430,652,652,202,4,24,162,75,66,119,0
77432,0,0,0,0,0,0,0,0,0,0
77433,30799,30799,4390,3672,1742,5346,5456,5589,4604,0
77434,1241,1241,86,108,20,229,319,205,274,0
77435,1074,1074,142,56,61,168,113,257,277,0
77436,20,20,20,0,0,0,0,0,0,0
77437,4821,4821,805,400,296,625,840,1078,777,0
77440,0,0,0,0,0,0,0,0,0,0
77441,3675,3673,449,559,97,573,584,657,754,2
77442,265,265,25,40,33,105,44,5,13,0
77443,129,129,0,0,0,0,87,42,0,0
77444,128,128,8,18,17,13,26,31,15,0
77445,4212,4212,557,728,284,792,721,597,533,0
77446,368,327,38,36,25,34,54,72,68,41
77447,4868,4833,668,599,229,887,886,1026,538,35
77448,31,31,0,0,0,0,13,18,0,0
77449,39625,39625,5601,4591,2045,6703,7112,7944,5629,0
77450,19994,19994,2503,1819,835,3449,3566,4101,3721,0
77451,14,14,0,0,2,2,2,2,6,0
77453,222,222,43,106,0,37,36,0,0,0
77454,0,0,0,0,0,0,0,0,0,0
77455,525,525,65,51,32,44,128,55,150,0
77456,330,330,24,100,32,32,100,29,13,0
77457,116,116,27,28,0,29,10,7,15,0
77458,0,0,0,0,0,0,0,0,0,0
77459,19391,19391,2905,1844,807,3024,3752,3528,3531,0
77460,23,23,0,0,0,10,13,0,0,0
77461,2973,2973,247,452,218,414,513,467,662,0
77464,12,12,0,0,2,2,0,0,8,0
77465,1993,1993,244,257,80,146,470,472,324,0
77466,60,60,9,8,8,0,17,4,14,0
77467,0,0,0,0,0,0,0,0,0,0
77468,0,0,0,0,0,0,0,0,0,0
77469,13422,13356,1602,1492,423,2019,2843,2566,2411,66
77470,56,56,17,8,0,0,9,0,22,0
77471,12377,12376,2246,1399,828,2246,2224,1766,1667,1
77473,22,22,9,0,0,13,0,0,0,0
77474,3392,3392,545,401,228,640,522,524,532,0
77475,113,113,0,0,0,13,23,64,13,0
77476,68,68,0,6,0,15,9,24,14,0
77477,7869,7869,1069,771,389,1514,1268,1351,1507,0
77478,4153,4138,477,382,128,522,781,664,1184,15
77479,25139,25139,2771,2506,1211,4396,4991,4774,4490,0
77480,2103,2103,305,187,141,373,336,388,373,0
77481,0,0,0,0,0,0,0,0,0,0
77482,256,256,17,29,0,18,43,51,98,0
77483,106,106,28,0,0,36,32,0,10,0
77484,2758,2758,403,354,196,369,530,451,455,0
77485,1252,1234,241,179,45,217,239,131,182,18
77486,1909,1909,398,207,91,303,399,245,266,0
77488,3253,3253,550,367,180,402,491,734,529,0
77489,9439,9439,1323,1081,311,1640,1778,1518,1788,0
77493,10278,10212,2246,827,512,1747,1691,1401,1788,66
77494,39797,39755,4291,4638,1612,7202,7338,7507,7167,42
77498,13232,13230,1990,1338,587,2378,1985,1935,3017,2
77502,12092,12092,1902,1470,808,1642,2373,1940,1957,0
77503,7967,7967,1387,879,327,1665,1459,1159,1091,0
77504,7056,7056,1132,685,326,1286,1405,1225,997,0
77505,6303,6303,1000,548,159,957,1526,1016,1097,0
77506,12949,12949,2368,1446,765,2074,2389,2139,1768,0
77507,14,14,0,0,0,14,0,0,0,0
77510,3345,3345,563,228,61,800,424,526,743,0
77511,12588,12586,2197,1590,670,1889,2113,1671,2456,2
77514,1157,1157,111,132,49,256,270,144,195,0
77515,7132,7065,1020,406,446,1476,1111,1403,1203,67
77517,1278,1278,87,105,11,138,137,397,403,0
77518,3058,3058,538,409,313,416,565,552,265,0
77519,168,168,0,0,2,36,74,0,56,0
77520,9772,9772,1624,1466,558,1461,1844,1471,1348,0
77521,17270,17270,3138,1949,1092,2992,2902,2589,2608,0
77523,7459,7459,1200,536,441,1465,1300,1163,1354,0
77530,10663,10663,1738,865,512,1573,1884,2153,1938,0
77531,4455,4455,523,615,204,767,855,781,710,0
77532,7137,7137,1451,809,294,999,841,1213,1530,0
77533,226,226,26,7,11,27,41,42,72,0
77534,561,561,18,41,37,46,127,140,152,0
77535,7543,7543,1092,661,344,1199,1229,1721,1297,0
77536,7738,7738,953,885,465,1199,1092,1536,1608,0
77538,221,221,14,28,0,31,51,45,52,0
77539,11007,10982,1390,1387,914,1729,2107,1672,1783,25
77541,5829,5821,665,567,350,1121,903,1140,1075,8
77545,7501,7501,1522,1122,384,1040,1378,828,1227,0
77546,14863,14863,1807,1710,551,2728,2914,2738,2415,0
77547,3192,3192,368,305,196,487,731,641,464,0
77550,3485,3485,652,395,237,643,521,637,400,0
77551,4504,4485,878,354,167,619,873,697,897,19
77554,836,836,132,47,42,151,183,117,164,0
77560,14,14,14,0,0,0,0,0,0,0
77561,27,27,10,0,0,17,0,0,0,0
77562,2709,2709,408,391,204,357,379,364,606,0
77563,2732,2732,378,466,187,406,501,425,369,0
77564,575,575,105,118,55,89,89,68,51,0
77565,1876,1876,175,295,90,135,283,342,556,0
77566,7467,7467,1023,759,455,1160,1336,1513,1221,0
77568,3591,3588,369,338,215,765,586,704,611,3
77571,8356,8301,1559,881,503,1536,1320,1108,1394,55
77573,25110,25092,4504,2739,937,4176,3951,4194,4591,18
77575,4226,4205,1057,515,290,545,421,751,626,21
77577,412,368,79,14,6,87,100,34,48,44
77578,6856,6801,795,570,116,855,1393,1757,1315,55
77580,485,485,165,64,0,152,39,32,33,0
77581,13169,13169,1692,1847,829,2185,2113,2213,2290,0
77583,10803,10798,2348,981,515,2156,1339,1491,1968,5
77584,24856,24848,4329,2978,1444,4858,3990,3923,3326,8
77585,279,279,0,12,0,35,18,55,159,0
77586,5061,4940,640,530,167,681,915,1130,877,121
77587,5541,5541,1120,674,165,871,902,852,957,0
77590,8095,8095,1217,841,476,1376,1817,1134,1234,0
77591,3603,3603,715,305,252,665,590,668,408,0
