zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
75182,1748,1748,114,147,36,262,335,400,454,0
75189,8578,8578,1436,766,501,1425,1661,1643,1146,0
75201,905,837,187,168,32,141,124,119,66,68
75202,172,172,100,0,0,15,0,20,37,0
75203,4404,4404,730,488,311,833,486,851,705,0
75204,2849,2847,642,402,158,426,437,473,309,2
75205,5282,5254,594,512,204,909,1085,1056,894,28
75206,5023,5023,1422,829,189,682,739,668,494,0
75207,134,58,0,0,44,0,0,14,0,76
75208,6836,6806,1082,620,444,1151,1124,1344,1041,30
75209,2439,2439,662,373,187,291,469,178,279,0
75210,2844,2844,436,474,188,506,425,444,371,0
75211,23287,23278,3786,2416,1015,4322,4281,4017,3441,9
75212,8367,8080,1088,1135,324,1302,1371,1501,1359,287
75214,7265,7264,1691,1229,440,1220,990,976,718,1
75215,4230,4182,1067,461,246,753,591,421,643,48
75216,15353,15352,1860,2027,862,2719,2905,2936,2043,1
75217,30652,30652,4133,4018,1589,5066,5516,5079,5251,0
75218,4250,4238,924,474,266,437,907,926,304,12
75219,2069,2047,362,302,66,263,517,265,272,22
75220,11984,11983,2081,1245,551,1890,2214,2055,1947,1
75223,4150,4149,466,575,315,778,853,602,560,1
75224,11921,11912,2337,1411,603,2053,1836,1955,1717,9
75225,5577,5577,607,742,247,1091,863,924,1103,0
75226,590,556,7,56,0,150,144,113,86,34
75227,19610,19586,3143,2244,939,3668,3917,3150,2525,24
75228,21082,21073,4083,2636,1251,3680,3442,3374,2607,9
75229,8000,8000,1475,943,411,1189,1376,1255,1351,0
75230,4480,4480,685,567,218,768,716,777,749,0
75231,10327,10327,2627,1664,420,1624,1421,1196,1375,0
75232,8179,8179,861,758,511,1234,1869,1400,1546,0
75233,4725,4725,735,657,233,886,575,841,798,0
75234,8457,8457,1582,954,297,1175,1344,1318,1787,0
75235,3251,3184,423,344,233,458,604,685,437,67
75236,5810,5810,859,717,248,1161,1151,892,782,0
75237,6562,6562,1138,888,657,1177,1049,913,740,0
75238,9491,9491,1978,1437,813,1590,1445,962,1266,0
75240,8404,8404,1292,1042,431,1538,1533,1296,1272,0
75241,9224,9033,1108,637,249,1456,1654,2170,1759,191
75243,17307,17301,4016,2338,944,3434,2432,2026,2111,6
75244,2435,2435,377,261,138,347,497,384,431,0
75246,659,646,147,85,47,90,146,27,104,13
75247,0,0,0,0,0,0,0,0,0,0
75248,7152,7152,1300,1168,523,1116,1104,933,1008,0
75249,4929,4929,703,603,320,1233,808,749,513,0
75251,324,324,82,0,0,23,59,70,90,0
75252,4475,4475,785,527,163,675,843,651,831,0
75253,8714,8698,1334,900,328,1827,1639,1337,1333,16
75254,6960,6960,1746,1112,501,1230,865,661,845,0
75270,0,0,0,0,0,0,0,0,0,0
75287,10745,10745,2447,1583,518,1762,1429,1399,1607,0
75390,0,0,0,0,0,0,0,0,0,0
75401,5157,5146,994,650,188,1121,792,899,502,11
75402,4104,4104,617,427,340,668,732,504,816,0
75407,5331,5331,724,463,344,812,1048,871,1069,0
75409,5647,5647,1046,793,184,669,998,1405,552,0
75410,976,976,101,55,75,120,210,278,137,0
75411,133,133,14,14,14,38,21,32,0,0
75412,110,110,0,0,24,0,20,43,23,0
75413,62,62,24,10,0,7,7,6,8,0
75414,891,891,98,96,39,68,163,210,217,0
75415,54,54,20,0,0,6,0,0,28,0
75416,787,787,118,85,29,149,79,143,184,0
75417,609,609,107,58,12,84,186,76,86,0
75418,2806,2804,473,201,212,298,395,638,587,2
75420,229,229,55,14,7,12,53,49,39,0
75421,273,273,80,8,36,12,66,70,1,0
75422,755,755,93,50,47,163,165,113,124,0
75423,689,689,54,53,36,137,97,170,142,0
75424,657,657,93,97,19,174,79,99,96,0
75426,636,636,137,0,0,83,147,135,134,0
75428,2021,2021,257,338,104,232,444,384,262,0
75431,455,455,71,78,39,61,90,85,31,0
75432,901,901,111,102,25,165,184,178,136,0
75433,666,666,87,60,15,166,109,106,123,0
75435,217,217,31,30,16,12,17,46,65,0
75436,735,735,163,38,26,164,139,50,155,0
75437,401,401,67,41,5,53,70,107,58,0
75438,262,262,23,14,13,24,61,64,63,0
75439,268,268,39,19,8,53,34,36,79,0
75440,1122,1122,174,86,66,173,178,194,251,0
75441,24,24,0,0,0,24,0,0,0,0
75442,2349,2349,459,260,13,450,303,457,407,0
75446,837,837,119,63,30,106,170,229,120,0
75447,310,310,18,44,13,86,41,59,49,0
75448,167,167,15,12,5,29,15,40,51,0
75449,301,301,54,18,18,44,51,57,59,0
75450,48,48,34,0,0,8,6,0,0,0
75451,157,157,40,8,10,6,65,10,18,0
75452,1291,1291,182,145,53,172,255,254,230,0
75453,703,703,138,112,63,38,76,94,182,0
75454,3400,3400,603,278,236,380,374,755,774,0
75455,8341,8341,1296,773,399,1338,1742,1304,1489,0
75457,1545,1545,235,96,98,262,169,298,387,0
75459,1222,1222,126,138,44,209,152,287,266,0
75460,5475,5454,1082,688,408,720,896,779,881,21
75462,2852,2852,386,224,176,395,489,703,479,0
75468,249,249,22,0,0,27,92,58,50,0
75469,28,28,3,0,3,9,9,2,2,0
75470,83,83,0,0,28,55,0,0,0,0
75471,564,542,63,20,19,118,136,134,52,22
75472,858,858,114,167,73,147,103,162,92,0
75473,784,784,92,175,78,81,156,40,162,0
75474,3298,3265,368,240,168,381,535,664,909,33
75475,14,14,0,4,0,0,0,5,5,0
75476,90,90,14,12,2,2,24,22,14,0
75477,290,290,84,43,0,27,29,34,73,0
75478,263,263,86,21,4,57,20,34,41,0
75479,320,320,39,35,15,59,63,52,57,0
75480,305,305,36,7,16,46,118,65,17,0
75481,76,76,11,5,0,10,7,15,28,0
75482,6056,6056,908,608,238,1117,934,1112,1139,0
75486,550,550,45,58,77,70,107,62,131,0
75487,578,578,88,42,25,168,79,82,94,0
75488,125,125,20,9,9,24,31,32,0,0
75489,331,331,30,79,10,67,51,45,49,0
75490,594,594,64,88,23,114,61,159,85,0
75491,1228,1228,114,144,91,224,171,207,277,0
75492,86,86,5,8,0,12,10,18,33,0
75493,240,240,33,47,24,40,46,29,21,0
75494,2406,2406,391,299,79,544,339,344,410,0
75495,1911,1910,239,91,85,312,449,523,211,1
75496,858,858,106,100,27,166,123,164,172,0
75497,575,575,113,25,22,47,97,139,132,0
75501,9002,8979,1415,1263,554,1407,1440,1418,1482,23
75503,6430,6430,990,709,110,915,1225,1321,1160,0
75550,41,41,0,3,0,0,11,10,17,0
75551,2777,2777,440,344,245,561,437,480,270,0
75554,381,381,11,77,8,42,71,94,78,0
75555,253,253,23,33,24,44,16,62,51,0
75556,325,325,47,24,31,88,40,40,55,0
75558,422,422,141,67,0,100,26,88,0,0
75559,1214,1214,108,104,153,327,201,156,165,0
75560,179,179,3,9,13,11,39,3,101,0
75561,1150,1150,203,77,56,205,281,153,175,0
75562,0,0,0,0,0,0,0,0,0,0
75563,874,866,191,104,36,24,112,253,146,8
75565,49,49,12,1,18,4,0,0,14,0
75566,158,158,1,15,11,25,16,36,54,0
75567,1279,1279,240,92,93,116,264,204,270,0
75568,598,598,61,56,15,145,121,183,17,0
75569,1108,1108,78,301,0,352,193,141,43,0
75570,1511,1511,128,149,84,201,371,212,366,0
75571,829,829,71,142,17,133,195,147,124,0
75572,779,779,148,36,58,101,127,105,204,0
75573,18,18,0,2,0,2,10,4,0,0
75574,350,350,56,29,14,55,68,86,42,0
